# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Standard Edition
# File: Y:\de1_soc_traning\lab\Advanced_Demo\demo1_axi\hardware\DE1_SOC_golden_top.csv
# Generated on: Fri May 11 17:13:11 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
ADC_CS_N,Output,PIN_Y21,5A,B5A_N0,PIN_Y21,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DIN,Output,PIN_W22,5A,B5A_N0,PIN_W22,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DOUT,Input,PIN_V23,5A,B5A_N0,PIN_V23,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SCLK,Output,PIN_W24,5A,B5A_N0,PIN_W24,3.3-V LVTTL,,,,,,,,,,,,,
AUD_ADCDAT,Input,PIN_AJ29,5A,B5A_N0,PIN_AJ29,3.3-V LVTTL,,,,,,,,,,,,,
AUD_ADCLRCK,Bidir,PIN_AH29,5A,B5A_N0,PIN_AH29,3.3-V LVTTL,,,,,,,,,,,,,
AUD_BCLK,Bidir,PIN_AF30,5A,B5A_N0,PIN_AF30,3.3-V LVTTL,,,,,,,,,,,,,
AUD_DACDAT,Output,PIN_AF29,5A,B5A_N0,PIN_AF29,3.3-V LVTTL,,,,,,,,,,,,,
AUD_DACLRCK,Bidir,PIN_AG30,5A,B5A_N0,PIN_AG30,3.3-V LVTTL,,,,,,,,,,,,,
AUD_XCK,Output,PIN_AH30,5A,B5A_N0,PIN_AH30,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK2_50,Input,PIN_AA16,4A,B4A_N0,PIN_AA16,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK3_50,Input,PIN_Y26,5B,B5B_N0,PIN_Y26,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK4_50,Input,PIN_K14,8A,B8A_N0,PIN_K14,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK_50,Input,PIN_AF14,3B,B3B_N0,PIN_AF14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[12],Output,PIN_AJ14,3B,B3B_N0,PIN_AJ14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[11],Output,PIN_AH13,3B,B3B_N0,PIN_AH13,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[10],Output,PIN_AG12,3B,B3B_N0,PIN_AG12,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[9],Output,PIN_AG13,3B,B3B_N0,PIN_AG13,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[8],Output,PIN_AH15,3B,B3B_N0,PIN_AH15,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[7],Output,PIN_AF15,3B,B3B_N0,PIN_AF15,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[6],Output,PIN_AD14,3B,B3B_N0,PIN_AD14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[5],Output,PIN_AC14,3B,B3B_N0,PIN_AC14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[4],Output,PIN_AB15,3B,B3B_N0,PIN_AB15,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[3],Output,PIN_AE14,3B,B3B_N0,PIN_AE14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[2],Output,PIN_AG15,3B,B3B_N0,PIN_AG15,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[1],Output,PIN_AH14,3B,B3B_N0,PIN_AH14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[0],Output,PIN_AK14,3B,B3B_N0,PIN_AK14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[1],Output,PIN_AJ12,3B,B3B_N0,PIN_AJ12,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[0],Output,PIN_AF13,3B,B3B_N0,PIN_AF13,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CAS_N,Output,PIN_AF11,3B,B3B_N0,PIN_AF11,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CKE,Output,PIN_AK13,3B,B3B_N0,PIN_AK13,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CLK,Output,PIN_AH12,3B,B3B_N0,PIN_AH12,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CS_N,Output,PIN_AG11,3B,B3B_N0,PIN_AG11,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[15],Bidir,PIN_AJ5,3B,B3B_N0,PIN_AJ5,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[14],Bidir,PIN_AJ6,3B,B3B_N0,PIN_AJ6,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[13],Bidir,PIN_AH7,3B,B3B_N0,PIN_AH7,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[12],Bidir,PIN_AH8,3B,B3B_N0,PIN_AH8,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[11],Bidir,PIN_AH9,3B,B3B_N0,PIN_AH9,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[10],Bidir,PIN_AJ9,3B,B3B_N0,PIN_AJ9,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[9],Bidir,PIN_AJ10,3B,B3B_N0,PIN_AJ10,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[8],Bidir,PIN_AH10,3B,B3B_N0,PIN_AH10,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[7],Bidir,PIN_AJ11,3B,B3B_N0,PIN_AJ11,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[6],Bidir,PIN_AK11,3B,B3B_N0,PIN_AK11,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[5],Bidir,PIN_AG10,3B,B3B_N0,PIN_AG10,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[4],Bidir,PIN_AK9,3B,B3B_N0,PIN_AK9,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[3],Bidir,PIN_AK8,3B,B3B_N0,PIN_AK8,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[2],Bidir,PIN_AK7,3B,B3B_N0,PIN_AK7,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[1],Bidir,PIN_AJ7,3B,B3B_N0,PIN_AJ7,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[0],Bidir,PIN_AK6,3B,B3B_N0,PIN_AK6,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_LDQM,Output,PIN_AB13,3B,B3B_N0,PIN_AB13,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_RAS_N,Output,PIN_AE13,3B,B3B_N0,PIN_AE13,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_UDQM,Output,PIN_AK12,3B,B3B_N0,PIN_AK12,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_WE_N,Output,PIN_AA13,3B,B3B_N0,PIN_AA13,3.3-V LVTTL,,,,,,,,,,,,,
FAN_CTRL,Output,,,,PIN_AE19,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_I2C_SCLK,Output,PIN_Y24,5A,B5A_N0,PIN_Y24,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_I2C_SDAT,Bidir,PIN_Y23,5A,B5A_N0,PIN_Y23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[35],Bidir,,,,PIN_W21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[34],Bidir,,,,PIN_J12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[33],Bidir,,,,PIN_AF5,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[32],Bidir,,,,PIN_E9,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[31],Bidir,,,,PIN_D12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[30],Bidir,,,,PIN_E2,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[29],Bidir,,,,PIN_AC12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[28],Bidir,,,,PIN_AG8,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[27],Bidir,,,,PIN_C4,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[26],Bidir,,,,PIN_B11,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[25],Bidir,,,,PIN_B5,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[24],Bidir,,,,PIN_AF16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[23],Bidir,,,,PIN_G7,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[22],Bidir,,,,PIN_AH22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[21],Bidir,,,,PIN_AF23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[20],Bidir,,,,PIN_AD29,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[19],Bidir,,,,PIN_D6,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[18],Bidir,,,,PIN_E1,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[17],Bidir,,,,PIN_A9,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[16],Bidir,,,,PIN_AG5,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[15],Bidir,,,,PIN_E8,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[14],Bidir,,,,PIN_H12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[13],Bidir,,,,PIN_AA24,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[12],Bidir,,,,PIN_AK2,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[11],Bidir,,,,PIN_C10,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[10],Bidir,,,,PIN_AG3,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[9],Bidir,,,,PIN_AE29,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[8],Bidir,,,,PIN_A5,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[7],Bidir,,,,PIN_Y16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[6],Bidir,,,,PIN_J10,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[5],Bidir,,,,PIN_F14,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[4],Bidir,,,,PIN_K7,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[3],Bidir,,,,PIN_F10,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[2],Bidir,,,,PIN_J9,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[1],Bidir,,,,PIN_J14,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[0],Bidir,,,,PIN_AF25,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[35],Bidir,,,,PIN_C9,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[34],Bidir,,,,PIN_E6,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[33],Bidir,,,,PIN_AK3,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[32],Bidir,,,,PIN_D1,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[31],Bidir,,,,PIN_AH18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[30],Bidir,,,,PIN_AG23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[29],Bidir,,,,PIN_AD17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[28],Bidir,,,,PIN_E4,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[27],Bidir,,,,PIN_AH28,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[26],Bidir,,,,PIN_AB23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[25],Bidir,,,,PIN_AE12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[24],Bidir,,,,PIN_H8,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[23],Bidir,,,,PIN_A3,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[22],Bidir,,,,PIN_A6,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[21],Bidir,,,,PIN_D9,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[20],Bidir,,,,PIN_AG20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[19],Bidir,,,,PIN_AF21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[18],Bidir,,,,PIN_D5,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[17],Bidir,,,,PIN_AH4,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[16],Bidir,,,,PIN_AD11,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[15],Bidir,,,,PIN_AG22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[14],Bidir,,,,PIN_AE16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[13],Bidir,,,,PIN_G11,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[12],Bidir,,,,PIN_W20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[11],Bidir,,,,PIN_A10,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[10],Bidir,,,,PIN_AF10,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[9],Bidir,,,,PIN_E11,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[8],Bidir,,,,PIN_AC27,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[7],Bidir,,,,PIN_AE28,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[6],Bidir,,,,PIN_AF20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[5],Bidir,,,,PIN_F6,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[4],Bidir,,,,PIN_C8,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[3],Bidir,,,,PIN_H14,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[2],Bidir,,,,PIN_H15,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[1],Bidir,,,,PIN_F9,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[0],Bidir,,,,PIN_AG27,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[6],Output,,,,PIN_G12,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[5],Output,,,,PIN_AE7,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[4],Output,,,,PIN_F8,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[3],Output,,,,PIN_AE22,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[2],Output,,,,PIN_A13,3.3-V LVTTL,,,,,,,,,,,,,
